PointID,Y,X,Z,Description,SourceJob
301,1886546.735,588039.599,26.162,NLD=NO ID,20-01-027
304,1886434.811,587849.856,25.972,NLD=RLS 2238,20-01-027
305,1886412.303,587736.555,25.804,NLD=RLS 2238,20-01-027
306,1886443.292,587516.47,25.523,NLD=NO ID,20-01-027
301,1886546.735,588039.599,26.162,NLD=NO ID,20-01-027
304,1886434.811,587849.856,25.972,NLD=RLS 2238,20-01-027
305,1886412.303,587736.555,25.804,NLD=RLS 2238,20-01-027
306,1886443.292,587516.47,25.523,NLD=NO ID,20-01-027
301,1886546.735,588039.599,26.162,NLD=NO ID,20-01-027
304,1886434.811,587849.856,25.972,NLD=RLS 2238,20-01-027
305,1886412.303,587736.555,25.804,NLD=RLS 2238,20-01-027
306,1886443.292,587516.47,25.523,NLD=NO ID,20-01-027
155,1891399.037,585298.192,25.395,NLD=FND NO ID,20-01-035
156,1891385.676,585248.336,25.429,NLD=FND ILLEGIBLE,20-01-035
155,1891399.037,585298.192,25.395,NLD=FND NO ID,20-01-035
156,1891385.676,585248.336,25.429,NLD=FND ILLEGIBLE,20-01-035
155,1891399.037,585298.192,25.395,NLD=FND NO ID,20-01-035
156,1891385.676,585248.336,25.429,NLD=FND ILLEGIBLE,20-01-035
447,1890291.762,585786.523,24.85,NLD -FND NO ID,20-01-039
447,1890291.762,585786.523,24.85,NLD -FND NO ID,20-01-039
401,1908311.862,582400.898,22.938,"NLD -FND ""7672""",20-01-050
402,1908840.124,582147.64,23.266,"NLD -FND ""4347""",20-01-050
404,1908912.305,582113.026,23.297,NLD -FND NO ID,20-01-050
405,1908984.411,582078.351,23.441,"NLD -FND ""PLS 4347""",20-01-050
492,1909777.762,581697.782,24.702,NLD -FND NO ID,20-01-050
401,1908311.862,582400.898,22.938,"NLD -FND ""7672"" & NL -FND ""7672"" st",20-01-050
402,1908840.124,582147.64,23.266,"NLD -FND ""4347"" & NL -FND ""4347"" st",20-01-050
404,1908912.305,582113.026,23.297,NLD -FND NO ID,20-01-050
405,1908984.411,582078.351,23.441,"NLD -FND ""PLS 4347""",20-01-050
492,1909777.762,581697.782,24.702,NLD -FND NO ID,20-01-050
401,1908311.862,582400.898,22.938,"NLD -FND ""7672""",20-01-050
402,1908840.124,582147.64,23.266,"NLD -FND ""4347""",20-01-050
404,1908912.305,582113.026,23.297,NLD -FND NO ID,20-01-050
405,1908984.411,582078.351,23.441,"NLD -FND ""PLS 4347""",20-01-050
492,1909777.762,581697.782,24.702,NLD -FND NO ID,20-01-050
401,1879617.925,577141.088,27.743,"NLD -FND ""6422""",20-01-051
402,1879636.426,577157.888,27.681,NLD -FND NO ID,20-01-051
403,1879728.987,577241.934,27.533,NLD -FND NO ID,20-01-051
405,1879843.659,577346.154,27.741,NLD -FND NO ID,20-01-051
406,1879806.584,577386.955,28.08,NLD -FND NO ID,20-01-051
442,1879860.476,577327.728,27.85,NLD -FND NO ID,20-01-051
459,1879968.108,577209.232,27.628,NLD -NO ID,20-01-051
466,1880035.339,577135.253,27.495,NLD -FND NO ID,20-01-051
401,1879617.925,577141.088,27.743,"NLD -FND ""6422""",20-01-051
402,1879636.426,577157.888,27.681,NLD -FND NO ID,20-01-051
403,1879728.987,577241.934,27.533,NLD -FND NO ID,20-01-051
405,1879843.659,577346.154,27.741,NLD -FND NO ID,20-01-051
406,1879806.584,577386.955,28.08,NLD -FND NO ID,20-01-051
442,1879860.476,577327.728,27.85,NLD -FND NO ID,20-01-051
459,1879968.108,577209.232,27.628,NLD -NO ID,20-01-051
466,1880035.339,577135.253,27.495,NLD -FND NO ID,20-01-051
401,1879617.925,577141.088,27.743,"NLD -FND ""6422""",20-01-051
402,1879636.426,577157.888,27.681,NLD -FND NO ID,20-01-051
403,1879728.987,577241.934,27.533,NLD -FND NO ID,20-01-051
405,1879843.659,577346.154,27.741,NLD -FND NO ID,20-01-051
406,1879806.584,577386.955,28.08,NLD -FND NO ID,20-01-051
442,1879860.476,577327.728,27.85,NLD -FND NO ID,20-01-051
459,1879968.108,577209.232,27.628,NLD -NO ID,20-01-051
466,1880035.339,577135.253,27.495,NLD -FND NO ID,20-01-051
401,1886049.847,588631.052,25.34,"NLD -FND ""COPC ESWD""",20-01-063
402,1884688.847,590541.974,24.489,"NLD -FND ""PCP LB 7672""",20-01-063
455,1884727.498,591166.594,24.154,"NLD -FND ""WILCOX 2238""",20-01-063
456,1886762.025,589948.078,24.203,"NLD -FND ""WILCOX 2238""",20-01-063
401,1886049.847,588631.052,25.34,"NLD -FND ""COPC ESWD""",20-01-063
402,1884688.847,590541.974,24.489,"NLD -FND ""PCP LB 7672""",20-01-063
455,1884727.498,591166.594,24.154,"NLD -FND ""WILCOX 2238""",20-01-063
456,1886762.025,589948.078,24.203,"NLD -FND ""WILCOX 2238""",20-01-063
401,1886049.847,588631.052,25.34,"NLD -FND ""COPC ESWD""",20-01-064
402,1884688.847,590541.974,24.489,"NLD -FND ""PCP LB 7672""",20-01-064
455,1884727.498,591166.594,24.154,"NLD -FND ""WILCOX 2238""",20-01-064
456,1886762.025,589948.078,24.203,"NLD -FND ""WILCOX 2238""",20-01-064
401,1886049.847,588631.052,25.34,"NLD -FND ""COPC ESWD""",20-01-064
402,1884688.847,590541.974,24.489,"NLD -FND ""PCP LB 7672""",20-01-064
455,1884727.498,591166.594,24.154,"NLD -FND ""WILCOX 2238""",20-01-064
456,1886762.025,589948.078,24.203,"NLD -FND ""WILCOX 2238""",20-01-064
406,1882648.381,587453.766,25.929,NLD -FND NO ID,20-01-065
454,1882310.636,587609.891,25.768,"NLD -FND ""WILCOX 2238""",20-01-065
455,1882211.192,587534.097,25.972,"NLD -FND ""SWA LB 7672""",20-01-065
471,1882306.36,585921.164,26.538,"NLD -FND ""WILCOX 2238""",20-01-065
472,1882608.037,585875.985,26.494,"NLD -FND ""WILCOX 2238""",20-01-065
474,1882630.685,586811.881,25.922,"NLD -FND ""7164""",20-01-065
477,1882568.196,586987.269,26.106,"NLD -FND ""7672""",20-01-065
480,1882529.03,587071.93,26.065,"NLD -FND ""LB 7672""",20-01-065
406,1882648.381,587453.766,25.929,NLD -FND NO ID,20-01-065
454,1882310.636,587609.891,25.768,"NLD -FND ""WILCOX 2238""",20-01-065
455,1882211.192,587534.097,25.972,"NLD -FND ""SWA LB 7672""",20-01-065
471,1882306.36,585921.164,26.538,"NLD -FND ""WILCOX 2238""",20-01-065
472,1882608.037,585875.985,26.494,"NLD -FND ""WILCOX 2238""",20-01-065
474,1882630.685,586811.881,25.922,"NLD -FND ""7164""",20-01-065
477,1882568.196,586987.269,26.106,"NLD -FND ""7672""",20-01-065
480,1882529.03,587071.93,26.065,"NLD -FND ""LB 7672""",20-01-065
409,1882595.218,587525.156,26.142,NLD -FND NO ID,20-01-065
406,1882648.381,587453.766,25.929,NLD -FND NO ID,20-01-066
454,1882310.636,587609.891,25.768,"NLD -FND ""WILCOX 2238""",20-01-066
455,1882211.192,587534.097,25.972,"NLD -FND ""SWA LB 7672""",20-01-066
471,1882306.36,585921.164,26.538,"NLD -FND ""WILCOX 2238""",20-01-066
472,1882608.037,585875.985,26.494,"NLD -FND ""WILCOX 2238""",20-01-066
474,1882630.685,586811.881,25.922,"NLD -FND ""7164""",20-01-066
477,1882568.196,586987.269,26.106,"NLD -FND ""7672""",20-01-066
480,1882529.03,587071.93,26.065,"NLD -FND ""LB 7672""",20-01-066
406,1882648.381,587453.766,25.929,NLD -FND NO ID,20-01-066
454,1882310.636,587609.891,25.768,"NLD -FND ""WILCOX 2238""",20-01-066
455,1882211.192,587534.097,25.972,"NLD -FND ""SWA LB 7672""",20-01-066
471,1882306.36,585921.164,26.538,"NLD -FND ""WILCOX 2238""",20-01-066
472,1882608.037,585875.985,26.494,"NLD -FND ""WILCOX 2238""",20-01-066
